breed,wikipedia_url,description,thumbnail_path
American English Coonhounds,https://en.wikipedia.org/wiki/American_English_Coonhound,"The American English Coonhound, also referred to as the English Coonhound or the Redtick Coonhound, is a breed of coonhound that originated in and is typically bred in the Southern United States. It is descended from hunting hounds, especially foxhounds, brought to America by settlers during the 17th and 18th centuries. The breed's first recognition came from the United Kennel Club in 1905 as the English Fox and Coonhound. Further recognition has been granted in recent years by the American Kennel Club, first in the Foundation Stock Service and in 2011 as a fully recognized member of the hound group.",american english coonhounds.jpg
Chinooks,https://en.wikipedia.org/wiki/Chinook_(dog),"The Chinook is a breed of sled dog, developed in the state of New Hampshire during the early 20th century. The Chinook is New Hampshire's official state dog.",
Finnish Spitz,https://en.wikipedia.org/wiki/Finnish_Spitz,"The Finnish Spitz (Finnish: suomenpystykorva) is a breed of dog originating in Finland.  The breed was originally trained to hunt all types of game from squirrels and other rodents to bears.  It is a ""bark pointer"", indicating the position of game by barking, and drawing the game animal's attention to itself, allowing an easier approach for the hunter. Its original game hunting purpose was to point to game that fled into trees, such as grouse, and capercaillies, but it also serves well for hunting elk. Some individuals have even been known to go after a bear. In its native country, the breed is still mostly used as a hunting dog. The breed is typically friendly and good with children, so it is suitable for domestic life. The Finnish Spitz has been the national dog of Finland since 1979.",finnish spitz.jpg
Grand Basset Griffon Vendeens,,,
Sloughis,https://en.wikipedia.org/wiki/Sloughi,"The Sloughi , or Arabian Greyhound (Arabic: سلوقي), is an ancient breed of domesticated dog, specifically a member of the sighthound family. It originates from North Africa and is found in Algeria, Tunisia, Morocco and Libya.",sloughis.jpg
Harriers,https://en.wikipedia.org/wiki/Harrier_(dog),"The Harrier is a medium-sized  dog breed of the  hound class,",
Cesky Terriers,https://en.wikipedia.org/wiki/Cesky_Terrier,"The Cesky Terrier ( CHES-kee; Czech: Český teriér, lit. 'Bohemian Terrier' or 'Czech Terrier') is a small terrier type dog originating in  Czechoslovakia.",cesky terriers.jpg
American Foxhounds,https://en.wikipedia.org/wiki/American_Foxhound,"The American Foxhound is a breed of dog, closely related to the English Foxhound. They are scent hounds, bred to hunt foxes by scent. United States Founding Father George Washington was key to the breed's early development.",american foxhounds.jpg
Azawakhs,https://en.wikipedia.org/wiki/Azawakh,"The Azawakh is a breed of dog from West Africa. With ancient origins, it is raised throughout the Sahelian zone of Mali, Niger,  and Burkina Faso.  This region includes the Azawagh Valley for which the breed is named. While commonly associated with the nomadic Tuareg people, the dogs are also bred and owned by other ethnic groups, such as the Peulh, Bella, and Hausa. The Azawakh is more related to the Sloughi than it is to the Saluki.",azawakhs.jpg
English Foxhounds,https://en.wikipedia.org/wiki/English_Foxhound,"The English Foxhound is one of the four foxhound breeds of dog. It is a cousin of the American Foxhound. They are scent hounds, bred to hunt foxes by scent.",english foxhounds.jpg
Norwegian Lundehunds,https://en.wikipedia.org/wiki/Norwegian_Lundehund,"The Norwegian Lundehund (Norwegian: Norsk lundehund) is a small dog breed of the Spitz type that originates from Norway. Its name is a compound noun composed of the elements lunde, meaning puffin (Norwegian lunde, ""puffin"", or lundefugl, ""puffin bird""), and hund, meaning dog. The breed was originally developed for the hunting of puffins and their eggs on inaccessible nesting places in caves and on cliffs.  The breed was at the brink of extinction in the 1960s and preservation efforts have since been underway.",norwegian lundehunds.jpg
